Scaffold	Refined scaffold	Scaffold start	Scaffold end	Chr	Pseudo start	Pseudo end	Scaffold Orientation
scaffold37	scaffold37a	899117	1404708	2	6990106	7495697	-
scaffold37	scaffold37a	872756	899073	2	7495698	7522015	-
scaffold37	scaffold37a	868697	872734	2	7522016	7526053	-
scaffold37	scaffold37a	1	868680	2	7526054	8394733	-
scaffold329	scaffold329	1	281544	6	10210139	10491682	-
scaffold562	scaffold562	1	250487	3	12622344	12872830	-
scaffold465	scaffold465	1	878647	15	11864491	12743137	-
scaffold792	scaffold792	1	40834	12	6657199	6698032	+
scaffold356	scaffold356	1	241485	12	11308849	11550333	+
scaffold2914	scaffold2914	1	68722	9	7050584	7119305	+
scaffold80	scaffold80	1	160315	3	4004645	4164959	+
scaffold752	scaffold752	1	108167	11	16070788	16178954	+
scaffold1185	scaffold1185	1	63763	14	546982	610744	+
scaffold173	scaffold173	1	161313	2	25569074	25730386	+
scaffold147	scaffold147	373752	566220	5	11090316	11282784	-
scaffold147	scaffold147	348264	373718	5	11282785	11308239	-
scaffold147	scaffold147	1	348236	5	11308240	11656475	-
scaffold2416	scaffold2416b	116448	138361	2	1291471	1313384	-
scaffold2416	scaffold2416b	57074	116416	2	1313385	1372727	-
scaffold2788	scaffold2788	1	121318	11	3434992	3556309	+
scaffold229	scaffold229	1	215535	11	11227184	11442718	+
scaffold339	scaffold339b	333733	999663	8	12553584	13219514	+
scaffold212	scaffold212	1	664221	6	5779325	6443545	+
scaffold722	scaffold722	1	396003	1	27366504	27762506	+
scaffold2324	scaffold2324	1	237709	14	16943648	17181356	+
scaffold81	scaffold81	1	127117	6	17951042	18078158	-
scaffold138	scaffold138	1	723791	3	15241857	15965647	-
scaffold167	scaffold167a	1	124415	8	11981073	12105487	-
scaffold34	scaffold34b	901041	2120818	14	17200042	18419819	-
scaffold50	scaffold50	975014	1446790	2	17279715	17751491	-
scaffold50	scaffold50	398005	974997	2	17751492	18328484	-
scaffold50	scaffold50	234357	397904	2	18328485	18492032	-
scaffold50	scaffold50	1	234337	2	18492033	18726369	-
scaffold3641	scaffold3641	1	13961	12	7622002	7635962	+
scaffold791	scaffold791	1	78063	12	11566576	11644638	-
scaffold280	scaffold280	1	641060	15	8352304	8993363	+
scaffold280	scaffold280	641082	641223	15	8993364	8993505	+
scaffold280	scaffold280	641270	2188250	15	8993506	10540486	+
scaffold280	scaffold280	2188294	2379420	15	10540487	10731613	+
scaffold280	scaffold280	2379475	2404031	15	10731614	10756170	+
scaffold199	scaffold199b	187360	338144	11	14877651	15028435	+
scaffold1286	scaffold1286	1	77715	10	2785617	2863331	-
scaffold651	scaffold651b	622794	1063703	13	2052220	2493129	-
scaffold651	scaffold651b	483757	622742	13	2493130	2632115	-
scaffold651	scaffold651b	283001	483660	13	2632116	2832775	-
scaffold1073	scaffold1073	1	87412	8	8766642	8854053	+
scaffold1252	scaffold1252	1	58097	8	10063645	10121741	+
scaffold1847	scaffold1847	1	146612	13	20035950	20182561	+
scaffold797	scaffold797	1	52610	13	2849910	2902519	+
scaffold797	scaffold797	52658	76350	13	2902520	2926212	+
scaffold200	scaffold200	1	25515	11	16216919	16242433	+
scaffold200	scaffold200	25613	171048	11	16242434	16387869	+
scaffold200	scaffold200	171094	386079	11	16387870	16602855	+
scaffold328	scaffold328	1	256064	5	7456037	7712100	-
scaffold94	scaffold94b	257555	424988	1	7698490	7865923	+
scaffold964	scaffold964	1	76890	12	20812343	20889232	+
scaffold327	scaffold327b	850655	1115024	9	4818284	5082653	+
scaffold1578	scaffold1578b	39096	441643	15	2927132	3329679	+
scaffold1578	scaffold1578b	441683	444487	15	3329680	3332484	+
scaffold334	scaffold334	1	94437	9	8347608	8442044	+
scaffold656	scaffold656	1	97083	4	1	97083	-
scaffold610	scaffold610b	243291	372840	8	15351206	15480755	+
scaffold610	scaffold610b	372860	376772	8	15480756	15484668	+
scaffold610	scaffold610b	376789	458512	8	15484669	15566392	+
scaffold39	scaffold39	175539	463479	10	7602629	7890569	-
scaffold39	scaffold39	15392	175492	10	7890570	8050670	-
scaffold39	scaffold39	1	15348	10	8050671	8066018	-
scaffold175	scaffold175b	46187	288798	1	20597551	20840162	-
scaffold709	scaffold709	1	190304	9	21416038	21606341	+
scaffold406	scaffold406	1	433	3	20025665	20026097	+
scaffold406	scaffold406	457	28941	3	20026098	20054582	+
scaffold406	scaffold406	28970	205654	3	20054583	20231267	+
scaffold500	scaffold500	1	315749	8	18151296	18467044	-
scaffold1394	scaffold1394	1	90692	15	6974260	7064951	-
scaffold650	scaffold650	1	176937	7	11571746	11748682	-
scaffold1486	scaffold1486	1	346453	9	1542470	1888922	+
scaffold317	scaffold317a	1	341756	2	4557504	4899259	+
scaffold430	scaffold430	1	583009	4	12786802	13369810	-
scaffold180	scaffold180	1	142157	9	7741999	7884155	-
scaffold338	scaffold338a	1	155076	4	5400884	5555959	-
scaffold311	scaffold311	1	346141	7	14493578	14839718	-
scaffold457	scaffold457	1	158309	8	10288542	10446850	+
scaffold568	scaffold568	27042	458263	5	8557215	8988436	-
scaffold568	scaffold568	1	26809	5	8988437	9015245	-
scaffold30	scaffold30b	669897	736746	3	3344218	3411067	-
scaffold30	scaffold30b	541401	669857	3	3411068	3539524	-
scaffold196	scaffold196a	1	50295	14	4493225	4543519	+
scaffold469	scaffold469	1	414997	10	12198242	12613238	-
scaffold678	scaffold678	1	277372	9	10499182	10776553	+
scaffold591	scaffold591	1	65284	6	7484371	7549654	+
scaffold591	scaffold591	65326	96091	6	7549655	7580420	+
scaffold883	scaffold883	1	347563	11	19278821	19626383	-
scaffold2252	scaffold2252	1	94749	13	14798902	14893650	-
scaffold65	scaffold65	107552	123052	2	11739233	11754733	-
scaffold65	scaffold65	1	107519	2	11754734	11862252	-
scaffold3319	scaffold3319	1	54632	14	4437593	4492224	+
scaffold427	scaffold427	1	113837	12	11174243	11288079	-
scaffold535	scaffold535	1	265904	11	10933961	11199864	-
scaffold51	scaffold51c	703021	1415582	4	10466163	11178724	-
scaffold51	scaffold51c	558411	703003	4	11178725	11323317	-
scaffold227	scaffold227	1	94856	8	9035388	9130243	+
scaffold680	scaffold680	1	408325	8	21462803	21871127	+
scaffold210	scaffold210	1	78555	9	5398765	5477319	-
scaffold596	scaffold596b	129478	255621	12	6508900	6635043	+
scaffold596	scaffold596b	255669	276823	12	6635044	6656198	+
scaffold596	scaffold596b	276942	276941	12	6656199	6656198	+
scaffold422	scaffold422b	79638	253200	15	8178741	8352303	-
scaffold1125	scaffold1125	1	175960	7	11365676	11541635	+
scaffold434	scaffold434	1	489253	11	15048830	15538082	+
scaffold320	scaffold320	1	975253	3	10476459	11451711	-
scaffold703	scaffold703	1	15723	2	14763064	14778786	+
scaffold703	scaffold703	15746	41017	2	14778787	14804058	+
scaffold701	scaffold701b	457808	560912	12	18781080	18884184	+
scaffold701	scaffold701b	560938	1096758	12	18884185	19420005	+
scaffold910	scaffold910	1	407192	9	2587532	2994723	-
scaffold731	scaffold731	1	97507	10	18010030	18107536	-
scaffold863	scaffold863	736835	1308131	12	19442498	20013794	-
scaffold863	scaffold863	276591	736818	12	20013795	20474022	-
scaffold863	scaffold863	1	276564	12	20474023	20750586	-
scaffold578	scaffold578	1	48115	4	19879828	19927942	-
scaffold1558	scaffold1558	1	39715	6	3713646	3753360	+
scaffold1558	scaffold1558	39741	432947	6	3753361	4146567	+
scaffold98	scaffold98	1	920301	12	1515626	2435926	-
scaffold1247	scaffold1247b	528572	551042	6	14326147	14348617	-
scaffold898	scaffold898	1	1044925	11	4008032	5052956	-
scaffold754	scaffold754	134386	462269	9	19795785	20123668	-
scaffold754	scaffold754	12784	134298	9	20123669	20245183	-
scaffold754	scaffold754	1	12746	9	20245184	20257929	-
scaffold150	scaffold150	1	108111	8	11871962	11980072	+
scaffold572	scaffold572b	328878	472948	14	13024708	13168778	+
scaffold267	scaffold267	1	355317	2	6121230	6476546	-
scaffold1743	scaffold1743	1	54459	9	22037118	22091576	+
scaffold127	scaffold127	1	1319751	13	9908824	11228574	+
scaffold127	scaffold127	1319811	1405599	13	11228575	11314363	+
scaffold296	scaffold296a	43826	355053	13	12715891	13027118	-
scaffold296	scaffold296a	1	43787	13	13027119	13070905	-
scaffold1851	scaffold1851	1	88693	7	17188861	17277553	+
scaffold981	scaffold981	1	365038	14	181944	546981	-
scaffold810	scaffold810	1	133977	1	4859885	4993861	+
scaffold584	scaffold584	1	305062	1	26164655	26469716	+
scaffold584	scaffold584	305163	560737	1	26469717	26725291	+
scaffold920	scaffold920	1	67747	4	98084	165830	-
scaffold705	scaffold705	1	150842	8	6811730	6962571	-
scaffold454	scaffold454	1	790511	2	3761835	4552345	+
scaffold727	scaffold727	1	189315	1	13251213	13440527	+
scaffold924	scaffold924	1	578258	12	2845319	3423576	-
scaffold1856	scaffold1856	1	140618	7	13193968	13334585	+
scaffold780	scaffold780	1	58838	15	5762480	5821317	+
scaffold371	scaffold371	391464	852955	7	8721569	9183060	-
scaffold371	scaffold371	1	391440	7	9183061	9574500	-
scaffold1405	scaffold1405	1	60275	14	9826729	9887003	-
scaffold217	scaffold217	1	962699	4	166850	1129548	+
scaffold217	scaffold217	962736	1253120	4	1129549	1419933	+
scaffold1311	scaffold1311	1	222920	1	5826154	6049073	+
scaffold15	scaffold15a	1	544994	4	7742118	8287111	-
scaffold1421	scaffold1421	1	208208	9	4602835	4811042	-
scaffold5617	scaffold5617	1	980	2	1373728	1374707	+
scaffold1134	scaffold1134	46236	199170	9	1309492	1462426	-
scaffold1134	scaffold1134	1	46219	9	1462427	1508645	-
scaffold654	scaffold654	1	176009	7	2074029	2250037	+
scaffold310	scaffold310c	1458256	1600286	8	4306856	4448886	-
scaffold76	scaffold76a	1	502621	11	5747368	6249988	+
scaffold362	scaffold362	1	826563	11	11816531	12643093	-
scaffold485	scaffold485	1	224438	13	783305	1007742	-
scaffold148	scaffold148	1	55716	9	10027820	10083535	+
scaffold148	scaffold148	55822	126392	9	10083536	10154106	+
scaffold151	scaffold151a	1	435782	5	11882188	12317969	+
scaffold847	scaffold847	1	233435	7	17802876	18036310	+
scaffold1005	scaffold1005	1	18216	7	10391293	10409508	+
scaffold1005	scaffold1005	18262	26640	7	10409509	10417887	+
scaffold1005	scaffold1005	26682	106246	7	10417888	10497452	+
scaffold1060	scaffold1060	1	131954	14	1	131954	+
scaffold1060	scaffold1060	132052	136019	14	131955	135922	+
scaffold835	scaffold835a	1	182200	5	1591058	1773257	-
scaffold308	scaffold308	1	268019	1	12164525	12432543	-
scaffold102	scaffold102	1	257605	3	8991106	9248710	+
scaffold102	scaffold102	257626	626311	3	9248711	9617396	+
scaffold102	scaffold102	626357	738832	3	9617397	9729872	+
scaffold520	scaffold520	1	335348	14	10480519	10815866	+
scaffold2151	scaffold2151	1	85722	1	28990897	29076618	-
scaffold1253	scaffold1253a	1	565815	9	1894474	2460288	+
scaffold555	scaffold555	1	193533	1	9447380	9640912	+
scaffold2083	scaffold2083	1	129312	9	21127786	21257097	+
scaffold286	scaffold286b	250418	428748	6	139280	317610	-
scaffold286	scaffold286b	53232	250394	6	317611	514773	-
scaffold1363	scaffold1363b	39176	54880	13	4791011	4806715	+
scaffold289	scaffold289	1	276241	2	16044377	16320617	-
scaffold120	scaffold120	1	117919	2	2799952	2917870	-
scaffold305	scaffold305c	767503	991214	5	11657476	11881187	+
scaffold233	scaffold233	1	266032	1	14752321	15018352	+
scaffold233	scaffold233	266074	580723	1	15018353	15333002	+
scaffold572	scaffold572a	1	328877	8	2620200	2949076	+
scaffold370	scaffold370	1	224217	15	4564668	4788884	+
scaffold172	scaffold172	1	602446	6	12008754	12611199	+
scaffold262	scaffold262	1	451087	4	3837659	4288745	+
scaffold248	scaffold248	1	475270	8	11395692	11870961	+
scaffold265	scaffold265	1	105612	2	12484989	12590600	+
scaffold265	scaffold265	105655	146805	2	12590601	12631751	+
scaffold1376	scaffold1376	1	440504	15	770814	1211317	-
scaffold57	scaffold57b	1574567	1820724	6	5505376	5751533	+
scaffold536	scaffold536	2823	164077	9	17781556	17942810	-
scaffold536	scaffold536	1	2778	9	17942811	17945588	-
scaffold29	scaffold29	1580570	1637416	12	8090789	8147635	-
scaffold29	scaffold29	1215980	1580539	12	8147636	8512195	-
scaffold29	scaffold29	1080262	1215937	12	8512196	8647871	-
scaffold29	scaffold29	1079109	1080220	12	8647872	8648983	-
scaffold29	scaffold29	420988	1079082	12	8648984	9307078	-
scaffold29	scaffold29	359705	420959	12	9307079	9368333	-
scaffold29	scaffold29	1	359607	12	9368334	9727940	-
scaffold915	scaffold915	1	189818	8	14049515	14239332	+
scaffold915	scaffold915	189914	624474	8	14239333	14673893	+
scaffold21	scaffold21	1	230841	4	7486576	7717416	-
scaffold524	scaffold524	221350	329714	3	25977255	26085619	-
scaffold524	scaffold524	1	221332	3	26085620	26306951	-
scaffold544	scaffold544	1	86075	1	19369937	19456011	-
scaffold112	scaffold112	1	693492	1	18329846	19023337	+
scaffold326	scaffold326b	257583	460237	4	4644773	4847427	+
scaffold326	scaffold326b	460270	464134	4	4847428	4851292	+
scaffold218	scaffold218b	298144	556179	12	11661929	11919964	+
scaffold17	scaffold17	1	153480	8	8855054	9008533	+
scaffold17	scaffold17	153519	179372	8	9008534	9034387	+
scaffold2022	scaffold2022	2427	568155	14	18642611	19208339	-
scaffold2022	scaffold2022	1	2377	14	19208340	19210716	-
scaffold152	scaffold152	1	86531	1	15440977	15527507	+
scaffold195	scaffold195	1	86148	2	13240844	13326991	+
scaffold195	scaffold195	86174	173862	2	13326992	13414680	+
scaffold338	scaffold338b	155077	296302	10	14991543	15132768	+
scaffold5633	scaffold5633	1	2503	1	8767872	8770374	+
scaffold743	scaffold743	1	276101	2	25110213	25386313	-
scaffold896	scaffold896	1	325187	13	407472	732658	+
scaffold360	scaffold360b	407006	1176022	15	2122292	2891308	+
scaffold44	scaffold44b	680852	719564	3	16854040	16892752	+
scaffold475	scaffold475b	1833322	1931741	2	5022725	5121144	-
scaffold475	scaffold475b	1020636	1833287	2	5121145	5933796	-
scaffold475	scaffold475b	895340	1020600	2	5933797	6059057	-
scaffold475	scaffold475b	877348	895302	2	6059058	6077012	-
scaffold309	scaffold309	1	311924	9	11523415	11835338	+
scaffold559	scaffold559	1	101094	2	11200205	11301298	-
scaffold247	scaffold247	1	180564	14	6994286	7174849	+
scaffold271	scaffold271	1	380350	14	12215943	12596292	+
scaffold734	scaffold734	1	167222	15	11647269	11814490	+
scaffold1155	scaffold1155	1	185711	15	7518829	7704539	+
scaffold145	scaffold145b	774567	1021990	13	16681095	16928518	-
scaffold145	scaffold145b	433196	774514	13	16928519	17269837	-
scaffold42	scaffold42	1	59340	13	15366920	15426259	+
scaffold42	scaffold42	59393	111328	13	15426260	15478195	+
scaffold42	scaffold42	111373	615767	13	15478196	15982590	+
scaffold42	scaffold42	615793	1314296	13	15982591	16681094	+
scaffold2096	scaffold2096	1	75461	8	17211125	17286585	+
scaffold808	scaffold808b	29625	187588	4	16974756	17132719	-
scaffold19	scaffold19a	1	82044	6	6654185	6736228	+
scaffold19	scaffold19a	82102	785063	6	6736229	7439190	+
scaffold32	scaffold32	1	122007	2	10825076	10947082	+
scaffold736	scaffold736	1	300365	7	12861092	13161456	-
scaffold215	scaffold215	1	100552	10	1	100552	-
scaffold164	scaffold164a	1	376085	8	7277750	7653834	+
scaffold44	scaffold44a	1	680851	1	20876494	21557344	+
scaffold917	scaffold917b	915410	1256560	2	23566190	23907340	-
scaffold917	scaffold917b	747437	915300	2	23907341	24075204	-
scaffold25	scaffold25a	1	1360000	12	15032294	16392293	+
scaffold1801	scaffold1801	1	104596	3	26531524	26636119	+
scaffold208	scaffold208	1	830661	2	20060797	20891457	-
scaffold286	scaffold286a	1	28321	3	22285419	22313739	+
scaffold286	scaffold286a	28364	53231	3	22313740	22338607	+
scaffold835	scaffold835b	337259	337655	8	18523565	18523961	-
scaffold835	scaffold835b	182201	337095	8	18523962	18678856	-
scaffold1068	scaffold1068	1	157831	8	5879631	6037461	+
scaffold28	scaffold28b	1327296	1933586	7	14860645	15466935	-
scaffold28	scaffold28b	1227434	1327241	7	15466936	15566743	-
scaffold28	scaffold28b	612327	1227414	7	15566744	16181831	-
scaffold701	scaffold701a	1	457807	3	16893772	17351578	-
scaffold416	scaffold416a	1	558320	5	13082787	13641106	-
scaffold116	scaffold116	1	680196	2	8900667	9580862	-
scaffold821	scaffold821	1	260036	1	28636184	28896219	+
scaffold344	scaffold344	1	416403	1	10698618	11115020	+
scaffold344	scaffold344	416427	435377	1	11115021	11133971	+
scaffold344	scaffold344	435402	462156	1	11133972	11160726	+
scaffold344	scaffold344	462205	531525	1	11160727	11230047	+
scaffold344	scaffold344	531555	609259	1	11230048	11307752	+
scaffold2619	scaffold2619	1	5447	4	6109130	6114576	+
scaffold2619	scaffold2619	5645	32814	4	6114577	6141746	+
scaffold859	scaffold859	1	203702	15	1815401	2019102	+
scaffold859	scaffold859	203729	298671	15	2019103	2114045	+
scaffold294	scaffold294	1	987411	11	8507474	9494884	-
scaffold235	scaffold235	1	640389	2	9585568	10225956	-
scaffold2174	scaffold2174	1	53843	10	15886540	15940382	+
scaffold376	scaffold376b	397276	857624	1	6835077	7295425	+
scaffold376	scaffold376b	857652	1174873	1	7295426	7612647	+
scaffold145	scaffold145a	1	433195	14	1912194	2345388	+
scaffold472	scaffold472a	1	215450	4	18669899	18885348	-
scaffold18	scaffold18	1	427562	6	9261865	9689426	-
scaffold319	scaffold319	1	656620	13	2992125	3648744	+
scaffold319	scaffold319	656646	1024938	13	3648745	4017037	+
scaffold2786	scaffold2786	1	215449	12	3442737	3658185	+
scaffold54	scaffold54	1	571760	10	6081363	6653122	+
scaffold312	scaffold312	1	29063	1	14343293	14372355	+
scaffold312	scaffold312	29085	72333	1	14372356	14415604	+
scaffold312	scaffold312	72391	345637	1	14415605	14688851	+
scaffold1635	scaffold1635a	1	261401	2	2486491	2747891	+
scaffold381	scaffold381	1	65954	8	16678804	16744757	+
scaffold123	scaffold123a	1	747000	11	2686992	3433991	+
scaffold993	scaffold993	1	156567	9	18454602	18611168	+
scaffold993	scaffold993	156599	313328	9	18611169	18767898	+
scaffold10	scaffold10	1	392142	9	14723739	15115880	+
scaffold10	scaffold10	392167	453471	9	15115881	15177185	+
scaffold498	scaffold498	1	135717	12	6699033	6834749	+
scaffold45	scaffold45	959766	964580	13	6466534	6471348	-
scaffold45	scaffold45	861889	959707	13	6471349	6569167	-
scaffold45	scaffold45	1	861845	13	6569168	7431012	-
scaffold1199	scaffold1199	1	125636	8	1	125636	-
scaffold25	scaffold25b	1360001	1563746	12	16863451	17067196	+
scaffold25	scaffold25b	1563766	2631401	12	17067197	18134832	+
scaffold1170	scaffold1170	122677	206360	3	7358938	7442621	-
scaffold1170	scaffold1170	1	122622	3	7442622	7565243	-
scaffold1374	scaffold1374	1	23905	5	2342267	2366171	+
scaffold510	scaffold510	1	315103	1	23609703	23924805	+
scaffold3010	scaffold3010	1	44697	13	14700287	14744983	+
scaffold1360	scaffold1360	1	90059	14	12597293	12687351	+
scaffold1347	scaffold1347	1	130188	15	7065952	7196139	+
scaffold310	scaffold310a	1	749409	1	6073806	6823214	-
scaffold368	scaffold368b	123266	235331	7	7485118	7597183	-
scaffold428	scaffold428	7352	113817	4	3530474	3636939	-
scaffold428	scaffold428	1	7254	4	3636940	3644193	-
scaffold808	scaffold808a	1	29624	5	13965080	13994703	+
scaffold384	scaffold384	1	166966	6	10524909	10691874	+
scaffold1313	scaffold1313	1	488868	2	24080913	24569780	-
scaffold27	scaffold27b	398548	1732048	6	7899337	9232837	-
scaffold2239	scaffold2239	1	153637	14	15579706	15733342	+
scaffold107	scaffold107	1	560080	2	22145832	22705911	-
scaffold2945	scaffold2945	1	39652	8	17489482	17529133	+
scaffold67	scaffold67b	1178871	1317456	10	13212605	13351190	+
scaffold67	scaffold67b	1317505	2733296	10	13351191	14766982	+
scaffold67	scaffold67b	2733315	2885518	10	14766983	14919186	+
scaffold507	scaffold507	1	150500	9	10155107	10305606	+
scaffold471	scaffold471	1	352220	3	14754121	15106340	+
scaffold1044	scaffold1044	1	43592	9	2518175	2561766	-
scaffold35	scaffold35b	299174	679534	2	20913126	21293486	+
scaffold27	scaffold27a	1	398547	12	974577	1373123	+
scaffold245	scaffold245	19461	376869	11	9975955	10333363	-
scaffold245	scaffold245	1	19424	11	10333364	10352787	-
scaffold44	scaffold44c	719565	796253	15	4115215	4191903	+
scaffold451	scaffold451	1	146500	1	25624695	25771194	+
scaffold163	scaffold163	1	283912	12	4732061	5015972	+
scaffold163	scaffold163	284119	694998	12	5015973	5426852	+
scaffold906	scaffold906	212607	752464	6	2932968	3472825	-
scaffold906	scaffold906	160510	212561	6	3472826	3524877	-
scaffold906	scaffold906	1	160463	6	3524878	3685340	-
scaffold1262	scaffold1262	1	213280	9	9447114	9660393	+
scaffold1863	scaffold1863	1	62675	8	1223154	1285828	+
scaffold583	scaffold583	1	406618	4	6142767	6549384	+
scaffold505	scaffold505a	202220	455744	11	15564410	15817934	-
scaffold505	scaffold505a	1	202188	11	15817935	16020122	-
scaffold269	scaffold269	37334	181296	9	13423909	13567871	-
scaffold269	scaffold269	1	37309	9	13567872	13605180	-
scaffold155	scaffold155b	234748	671213	8	5419145	5855610	+
scaffold1635	scaffold1635b	261402	340230	3	16727025	16805853	+
scaffold161	scaffold161	1	120953	11	10476252	10597204	+
scaffold161	scaffold161	121008	171571	11	10597205	10647768	+
scaffold161	scaffold161	171593	242855	11	10647769	10719031	+
scaffold161	scaffold161	242925	400552	11	10719032	10876659	+
scaffold773	scaffold773	1	225440	13	17315477	17540916	-
scaffold1158	scaffold1158	1	251704	12	3793332	4045035	+
scaffold2003	scaffold2003	1	48101	1	26726292	26774392	+
scaffold1216	scaffold1216	1	921462	7	2989742	3911203	-
scaffold480	scaffold480	1	330798	14	9914026	10244823	-
scaffold326	scaffold326a	1	257582	9	14386157	14643738	-
scaffold1324	scaffold1324	1	105251	1	14121579	14226829	-
scaffold74	scaffold74	1	831318	9	15379525	16210842	-
scaffold62	scaffold62	1	522916	8	699238	1222153	+
scaffold732	scaffold732	1	402727	15	12744138	13146864	-
scaffold355	scaffold355	792014	888752	10	6678123	6774861	-
scaffold355	scaffold355	744161	791988	10	6774862	6822689	-
scaffold355	scaffold355	1	744131	10	6822690	7566820	-
scaffold117	scaffold117	1	656107	6	11334291	11990397	+
scaffold612	scaffold612b	277050	391712	14	3887542	4002204	+
scaffold612	scaffold612b	391907	826294	14	4002205	4436592	+
scaffold604	scaffold604	79733	485832	12	6860236	7266335	-
scaffold604	scaffold604	1	79714	12	7266336	7346049	-
scaffold629	scaffold629	1	78161	14	10269824	10347984	+
scaffold629	scaffold629	78189	170553	14	10347985	10440349	+
scaffold2968	scaffold2968	1	70377	1	28563232	28633608	-
scaffold19	scaffold19b	785064	828243	6	7440191	7483370	-
scaffold204	scaffold204	216353	279730	12	664330	727707	-
scaffold204	scaffold204	171465	216307	12	727708	772550	-
scaffold204	scaffold204	1	171429	12	772551	943979	-
scaffold211	scaffold211	1	238302	3	14160091	14398392	-
scaffold382	scaffold382	1	218443	15	4788905	5007347	-
scaffold279	scaffold279	1	622410	12	4109632	4732041	-
scaffold2416	scaffold2416a	1	57073	5	1997797	2054869	+
scaffold575	scaffold575	1	109787	13	6324907	6434693	+
scaffold450	scaffold450	1	209474	14	9598396	9807869	-
scaffold159	scaffold159a	1	517716	7	6966402	7484117	-
scaffold779	scaffold779	1	265228	4	7208359	7473586	+
scaffold13	scaffold13	1	340290	4	5557442	5897731	-
scaffold660	scaffold660	1	476736	2	14987000	15463735	-
scaffold1106	scaffold1106	1	113300	15	15523472	15636771	-
scaffold1168	scaffold1168	11541	526057	11	2152576	2667092	-
scaffold1168	scaffold1168	1	11322	11	2667093	2678414	-
scaffold488	scaffold488b	125530	594158	3	22411951	22880579	+
scaffold488	scaffold488b	594197	1344199	3	22880580	23630582	+
scaffold621	scaffold621	1	392956	13	11844023	12236978	-
scaffold413	scaffold413b	793383	1131459	4	16591084	16929160	+
scaffold1409	scaffold1409	1	82980	9	10792465	10875444	+
scaffold668	scaffold668	1	133072	7	8139184	8272255	-
scaffold1949	scaffold1949	1	40821	9	19753964	19794784	+
scaffold947	scaffold947	191142	611741	1	8771375	9191974	-
scaffold947	scaffold947	1	191103	1	9191975	9383077	-
scaffold1135	scaffold1135	1	89653	7	18210067	18299719	+
scaffold5306	scaffold5306	1	556	1	28634609	28635164	+
scaffold804	scaffold804	1	99296	5	8055518	8154813	-
scaffold1308	scaffold1308	1	609833	5	16985789	17595621	+
scaffold1308	scaffold1308	609863	713998	5	17595622	17699757	+
scaffold1649	scaffold1649	1	84525	12	1385531	1470055	-
scaffold1419	scaffold1419	1	64113	3	9730873	9794985	+
scaffold1086	scaffold1086	1	130048	1	19171194	19301241	+
scaffold109	scaffold109	1	226984	3	8412608	8639591	+
scaffold249	scaffold249	1	285366	14	7431049	7716414	+
scaffold115	scaffold115	1	188857	14	7175850	7364706	-
scaffold2896	scaffold2896	1	130876	13	4046940	4177815	+
scaffold645	scaffold645	1	47467	9	7120306	7167772	+
scaffold1230	scaffold1230	1	99483	9	21281508	21380990	+
scaffold424	scaffold424	1	83476	9	7606315	7689790	+
scaffold243	scaffold243	1	299475	3	21103347	21402821	+
scaffold43	scaffold43a	1	439700	13	14913269	15352968	+
scaffold605	scaffold605b	848421	1022550	1	2430549	2604678	+
scaffold547	scaffold547	1	38446	4	8307178	8345623	+
scaffold547	scaffold547	38467	120387	4	8345624	8427544	+
scaffold547	scaffold547	120627	197624	4	8427545	8504542	+
scaffold547	scaffold547	197647	232452	4	8504543	8539348	+
scaffold602	scaffold602	1	46785	14	12688352	12735136	+
scaffold602	scaffold602	46805	191857	14	12735137	12880189	+
scaffold602	scaffold602	191875	335392	14	12880190	13023707	+
scaffold101	scaffold101	1	483253	3	20588115	21071367	+
scaffold305	scaffold305b	410418	767502	8	2246478	2603562	+
scaffold75	scaffold75	97163	126309	5	7329758	7358904	-
scaffold75	scaffold75	1	97113	5	7358905	7456017	-
scaffold377	scaffold377	1	502299	2	544449	1046747	+
scaffold377	scaffold377	502341	737078	2	1046748	1281485	+
scaffold903	scaffold903	1	114307	11	6265383	6379689	+
scaffold903	scaffold903	114325	631267	11	6379690	6896632	+
scaffold617	scaffold617c	813439	972000	13	19434434	19592995	+
scaffold288	scaffold288	1	201772	12	7636963	7838734	-
scaffold33	scaffold33d	1959498	2127348	8	22220936	22388786	-
scaffold911	scaffold911	1	239016	9	20858391	21097406	+
scaffold230	scaffold230	1	510219	3	188276	698494	-
scaffold70	scaffold70	1	22252	1	27762526	27784777	-
scaffold46	scaffold46	1	768546	7	13475659	14244204	+
scaffold46	scaffold46	768594	1016966	7	14244205	14492577	+
scaffold239	scaffold239	1	428124	13	12274435	12702558	+
scaffold155	scaffold155c	762046	809190	3	1	47145	-
scaffold155	scaffold155c	671214	762011	3	47146	137943	-
scaffold1123	scaffold1123a	1	553761	6	15807091	16360851	+
scaffold1123	scaffold1123a	553794	787815	6	16360852	16594873	+
scaffold300	scaffold300	1	338090	11	13398543	13736632	+
scaffold300	scaffold300	338139	343796	11	13736633	13742290	+
scaffold540	scaffold540b	944962	1157522	9	1060773	1273333	-
scaffold290	scaffold290	1	237635	14	9032286	9269920	+
scaffold165	scaffold165	282592	935523	12	9764107	10417038	-
scaffold165	scaffold165	193255	282575	12	10417039	10506359	-
scaffold165	scaffold165	102182	193237	12	10506360	10597415	-
scaffold165	scaffold165	22443	102164	12	10597416	10677137	-
scaffold165	scaffold165	1	22422	12	10677138	10699559	-
scaffold464	scaffold464b	650627	1667423	14	14547860	15564656	-
