chr	ID	start	end	strand	RGA type	scaffold 	refined scaffold
8	Lus10033924	10598407	10601847	+	RLK	scaffold222	scaffold222b
8	Lus10033926	10646231	10649641	+	RLK	scaffold222	scaffold222b
14	Lus10003224	15581441	15583471	-	RLK	scaffold2239	scaffold2239
14	Lus10003244	15659036	15664924	-	RLK	scaffold2239	scaffold2239
8	Lus10022340	16348058	16351015	+	RLK	scaffold225	scaffold225
8	Lus10022345	16371577	16373613	-	RLK	scaffold225	scaffold225
8	Lus10022351	16406251	16410487	+	CNL	scaffold225	scaffold225
1	Lus10005373	11656714	11661949	+	TNL	scaffold228	scaffold228
1	Lus10005374	11673246	11673867	+	TX	scaffold228	scaffold228
5	Lus10002278	14087656	14093897	+	RLK	scaffold2280	scaffold2280
5	Lus10002293	14028544	14031841	+	RLK	scaffold2280	scaffold2280
12	Lus10019963	236966	240389	-	RLK	scaffold23	scaffold23a
12	Lus10020016	549126	551933	+	CNL	scaffold23	scaffold23a
12	Lus10020030	603530	607676	-	RLK	scaffold23	scaffold23a
7	Lus10020046	16415283	16418437	+	RLK	scaffold23	scaffold23b
7	Lus10020052	16375684	16379355	-	RLK	scaffold23	scaffold23b
7	Lus10020078	16269761	16270584	+	RLK	scaffold23	scaffold23b
7	Lus10020080	16262198	16265834	-	RLK	scaffold23	scaffold23b
7	Lus10020083	16253645	16256074	+	RLK	scaffold23	scaffold23b
14	Lus10014163	5280763	5282130	-	RLK	scaffold231	scaffold231b
14	Lus10014174	5183018	5185961	+	RLK	scaffold231	scaffold231b
14	Lus10014185	5145249	5147954	-	RLK	scaffold231	scaffold231b
14	Lus10014207	5061029	5065135	-	TNL	scaffold231	scaffold231b
14	Lus10014235	4957874	4960241	-	RLK	scaffold231	scaffold231b
14	Lus10014236	4954671	4957103	-	RLK	scaffold231	scaffold231b
14	Lus10005550	16991450	16996602	+	RLK	scaffold2324	scaffold2324
14	Lus10005569	17072089	17074229	+	RLK	scaffold2324	scaffold2324
14	Lus10005588	17153959	17158013	+	TNL	scaffold2324	scaffold2324
13	Lus10010823	12592295	12595266	-	RLK	scaffold239	scaffold239
2	Lus10005784	460516	464043	-	RLK	scaffold24	scaffold24
2	Lus10005813	308780	313461	+	TNL	scaffold24	scaffold24
6	Lus10004153	15748894	15759755	+	RLK	scaffold2404	scaffold2404
6	Lus10004166	15670283	15672500	-	RLK	scaffold2404	scaffold2404
8	Lus10006623	22089576	22091153	+	TM-CC	scaffold244	scaffold244
8	Lus10006626	22111092	22113779	+	TM-CC	scaffold244	scaffold244
14	Lus10003926	7068645	7072313	+	RLK	scaffold247	scaffold247
14	Lus10003942	7156165	7158771	-	RLK	scaffold247	scaffold247
14	Lus10006907	7523807	7529125	-	NL	scaffold249	scaffold249
14	Lus10006928	7702130	7704784	-	TX	scaffold249	scaffold249
14	Lus10006929	7708654	7709976	-	TX	scaffold249	scaffold249
12	Lus10042937	15059676	15061813	-	TM-CC	scaffold25	scaffold25a
12	Lus10042940	15089220	15093657	+	RLK	scaffold25	scaffold25a
12	Lus10042988	15516113	15517957	+	RLK	scaffold25	scaffold25a
12	Lus10043083	16087281	16089494	-	RLK	scaffold25	scaffold25a
12	Lus10043219	17332560	17335211	+	RLK	scaffold25	scaffold25b
12	Lus10043328	17898258	17898713	+	RLP	scaffold25	scaffold25b
12	Lus10043368	18068141	18071285	+	RLK	scaffold25	scaffold25b
6	Lus10043391	2441365	2443743	+	RLK	scaffold25	scaffold25c
6	Lus10043453	2690288	2692931	-	TM-CC	scaffold25	scaffold25c
6	Lus10043456	2701666	2712956	-	TM-CC	scaffold25	scaffold25c
6	Lus10043480	2841588	2843766	+	RLK	scaffold25	scaffold25c
8	Lus10018349	23758499	23767355	+	RLP	scaffold251	scaffold251
8	Lus10018377	23643099	23647937	-	RLK	scaffold251	scaffold251
8	Lus10018379	23632142	23635799	-	RLK	scaffold251	scaffold251
8	Lus10018380	23628565	23630110	-	RLK	scaffold251	scaffold251
8	Lus10018382	23623813	23626346	-	RLK	scaffold251	scaffold251
8	Lus10018402	23532325	23535966	+	RLK	scaffold251	scaffold251
8	Lus10018405	23521026	23526901	+	RLK	scaffold251	scaffold251
8	Lus10018406	23513943	23517004	-	RLK	scaffold251	scaffold251
8	Lus10018407	23510740	23513809	+	RLK	scaffold251	scaffold251
8	Lus10018408	23505978	23510072	+	RLK	scaffold251	scaffold251
8	Lus10018444	23316649	23319746	+	NBS	scaffold251	scaffold251
8	Lus10018455	23269540	23271763	+	TM-CC	scaffold251	scaffold251
8	Lus10018459	23240447	23243996	+	RLK	scaffold251	scaffold251
8	Lus10018470	23181341	23182036	+	TX	scaffold251	scaffold251
14	Lus10006948	11932054	11934450	-	RLP	scaffold253	scaffold253
15	Lus10005827	5873589	5874053	+	TX	scaffold256	scaffold256a
11	Lus10019018	16799902	16802269	+	RLK	scaffold257	scaffold257a
11	Lus10019035	16688024	16691188	+	RLK	scaffold257	scaffold257a
11	Lus10019036	16682335	16685530	+	RLK	scaffold257	scaffold257a
8	Lus10019061	6544175	6547004	+	RLK	scaffold257	scaffold257b
8	Lus10019067	6673097	6676346	-	RLK	scaffold257	scaffold257b
8	Lus10019073	6775112	6781023	-	TM-CC	scaffold257	scaffold257b
9	Lus10007543	3295804	3298169	+	RLK	scaffold259	scaffold259
9	Lus10007587	3083474	3088890	-	RLK	scaffold259	scaffold259
9	Lus10004365	5252951	5255425	+	RLK	scaffold2593	scaffold2593
9	Lus10004388	5131906	5138235	+	RLK	scaffold2593	scaffold2593
13	Lus10011509	5318213	5321053	-	RLK	scaffold260	scaffold260
13	Lus10011561	5610920	5611732	+	RLP	scaffold260	scaffold260
13	Lus10011576	5672600	5675656	-	RLK	scaffold260	scaffold260
13	Lus10011580	5706201	5711951	-	RLP	scaffold260	scaffold260
9	Lus10030945	5644271	5648856	+	TM-CC	scaffold261	scaffold261
9	Lus10031043	6265980	6269593	-	RLK	scaffold261	scaffold261
9	Lus10031058	6367203	6373033	-	TM-CC	scaffold261	scaffold261
4	Lus10011585	3908176	3911548	+	RLK	scaffold262	scaffold262
8	Lus10002232	18955743	18959263	+	OTHER	scaffold263	scaffold263
8	Lus10002247	19020694	19023979	-	TNL	scaffold263	scaffold263
8	Lus10002249	19037487	19042009	-	TNL	scaffold263	scaffold263
12	Lus10036195	1083358	1089252	-	TM-CC	scaffold27	scaffold27a
12	Lus10036242	1319984	1324083	+	RLK	scaffold27	scaffold27a
12	Lus10036251	1369197	1373122	-	RLK	scaffold27	scaffold27a
6	Lus10036280	8803477	8804784	-	RLK	scaffold27	scaffold27b
6	Lus10036313	8210731	8213575	-	RLK	scaffold27	scaffold27b
6	Lus10036321	8086684	8089953	+	RLK	scaffold27	scaffold27b
4	Lus10041466	14333433	14341172	+	TM-CC	scaffold272	scaffold272
4	Lus10041488	14440751	14446529	-	RLP	scaffold272	scaffold272
4	Lus10041509	14567225	14569339	+	RLK	scaffold272	scaffold272
4	Lus10041512	14580893	14585131	-	TM-CC	scaffold272	scaffold272
4	Lus10041574	14866634	14868668	+	RLK	scaffold272	scaffold272
4	Lus10041589	14939408	14942427	+	RLK	scaffold272	scaffold272
4	Lus10041593	14960079	14962125	+	RLK	scaffold272	scaffold272
4	Lus10041605	15019929	15020549	-	TX	scaffold272	scaffold272
4	Lus10041606	15023270	15024256	+	TX	scaffold272	scaffold272
4	Lus10041639	15185355	15189194	+	RLK	scaffold272	scaffold272
4	Lus10041653	15233424	15234506	-	RLK	scaffold272	scaffold272
4	Lus10041680	15351056	15365345	-	RLK	scaffold272	scaffold272
4	Lus10041690	15420153	15426734	+	TM-CC	scaffold272	scaffold272
4	Lus10041731	15633105	15634709	+	TM-CC	scaffold272	scaffold272
4	Lus10041734	15644769	15647703	+	RLK	scaffold272	scaffold272
4	Lus10041804	15965024	15968411	+	TM-CC	scaffold272	scaffold272
4	Lus10041860	16212942	16215322	+	RLK	scaffold272	scaffold272
8	Lus10012214	622380	628892	-	RLP	scaffold273	scaffold273
8	Lus10012225	578679	580560	-	RLK	scaffold273	scaffold273
8	Lus10012246	458023	461901	-	TNL	scaffold273	scaffold273
9	Lus10001677	429431	436772	-	RLK	scaffold2739	scaffold2739
13	Lus10010648	1436637	1437725	-	RLP	scaffold274	scaffold274
2	Lus10014274	3335526	3339037	+	TM-CC	scaffold275	scaffold275
2	Lus10014303	3213304	3215880	-	NL	scaffold275	scaffold275
12	Lus10004980	3620254	3622293	+	RLK	scaffold2786	scaffold2786
12	Lus10004982	3626037	3628391	-	RLK	scaffold2786	scaffold2786
11	Lus10002360	3446100	3448698	+	RLK	scaffold2788	scaffold2788
12	Lus10016506	4492006	4494033	+	RLK	scaffold279	scaffold279
12	Lus10016507	4483503	4485530	+	RLK	scaffold279	scaffold279
4	Lus10001588	8635924	8642045	-	TM-CC	scaffold2796	scaffold2796
11	Lus10038153	5129302	5136324	-	RLK	scaffold28	scaffold28a
11	Lus10038169	5208285	5216353	+	TM-CC	scaffold28	scaffold28a
11	Lus10038172	5219540	5223993	+	RLK	scaffold28	scaffold28a
11	Lus10038174	5231036	5234068	+	RLK	scaffold28	scaffold28a
11	Lus10038203	5326528	5328367	+	TM-CC	scaffold28	scaffold28a
11	Lus10038249	5495292	5499958	+	TNL	scaffold28	scaffold28a
11	Lus10038251	5504764	5508497	+	RLK	scaffold28	scaffold28a
7	Lus10038302	16172153	16175829	+	TM-CC	scaffold28	scaffold28b
7	Lus10038333	16035364	16040978	+	TM-CC	scaffold28	scaffold28b
7	Lus10038382	15774664	15777241	-	RLK	scaffold28	scaffold28b
7	Lus10038392	15720865	15724860	+	RLK	scaffold28	scaffold28b
7	Lus10038460	15337905	15342171	+	RLK	scaffold28	scaffold28b
7	Lus10038482	15238642	15243080	+	TNL	scaffold28	scaffold28b
7	Lus10038488	15201654	15205548	-	RLK	scaffold28	scaffold28b
7	Lus10038532	14949837	14952741	+	TNL	scaffold28	scaffold28b
7	Lus10038533	14945164	14949494	+	TNL	scaffold28	scaffold28b
7	Lus10038544	14875570	14878994	-	RLK	scaffold28	scaffold28b
15	Lus10041026	8979429	8981633	+	RLK	scaffold280	scaffold280
15	Lus10041060	9137515	9142048	+	OTHER	scaffold280	scaffold280
15	Lus10041078	9220500	9223276	+	NL	scaffold280	scaffold280
15	Lus10041101	9316764	9319208	-	RLK	scaffold280	scaffold280
15	Lus10041171	9625311	9629936	-	RLK	scaffold280	scaffold280
15	Lus10041182	9666722	9668345	-	TM-CC	scaffold280	scaffold280
15	Lus10041190	9695110	9696363	+	RLP	scaffold280	scaffold280
15	Lus10041243	9929463	9932255	+	CNL	scaffold280	scaffold280
15	Lus10041323	10296761	10298635	+	RLK	scaffold280	scaffold280
15	Lus10041325	10310248	10315675	-	TM-CC	scaffold280	scaffold280
15	Lus10041395	10584053	10586059	-	RLK	scaffold280	scaffold280
15	Lus10041404	10627673	10629979	-	RLK	scaffold280	scaffold280
3	Lus10007934	4947316	4949314	-	RLK	scaffold281	scaffold281
6	Lus10010927	369513	384607	-	RLK	scaffold286	scaffold286b
6	Lus10010937	335254	336192	+	TM-CC	scaffold286	scaffold286b
6	Lus10010951	256303	261269	+	RLK	scaffold286	scaffold286b
6	Lus10010973	171448	174102	-	RLK	scaffold286	scaffold286b
8	Lus10000423	17548927	17556833	-	TNL	scaffold2860	scaffold2860
13	Lus10002736	4064480	4065781	+	NBS	scaffold2896	scaffold2896
13	Lus10002742	4083370	4086342	+	RLP	scaffold2896	scaffold2896
13	Lus10002753	4136784	4140702	+	RLP	scaffold2896	scaffold2896
13	Lus10002754	4141596	4143026	-	RLP	scaffold2896	scaffold2896
13	Lus10002755	4144251	4147241	+	RLP	scaffold2896	scaffold2896
13	Lus10002758	4156861	4159803	+	RLP	scaffold2896	scaffold2896
12	Lus10034978	8628850	8632272	-	RLK	scaffold29	scaffold29
5	Lus10032214	2475075	2476730	-	TM-CC	scaffold291	scaffold291
5	Lus10032275	2793702	2796638	-	TN	scaffold291	scaffold291
5	Lus10032306	3015482	3018758	-	RLK	scaffold291	scaffold291
5	Lus10032335	3171500	3174176	-	RLP	scaffold291	scaffold291
5	Lus10032351	3223137	3225286	+	RLK	scaffold291	scaffold291
5	Lus10032357	3261984	3263822	+	RLK	scaffold291	scaffold291
5	Lus10032382	3409553	3412903	-	RLK	scaffold291	scaffold291
8	Lus10033931	20817759	20818659	-	RLP	scaffold292	scaffold292a
8	Lus10033936	20837221	20839236	+	RLK	scaffold292	scaffold292a
8	Lus10033953	20927427	20930772	-	TNL	scaffold292	scaffold292a
8	Lus10034013	21315351	21329121	-	RLP	scaffold292	scaffold292a
6	Lus10034082	2315378	2319022	+	RLK	scaffold292	scaffold292c
6	Lus10034085	2329055	2331616	-	RLK	scaffold292	scaffold292c
12	Lus10034108	18562139	18564322	+	RLK	scaffold292	scaffold292d
5	Lus10006675	2235078	2237827	-	RLK	scaffold2932	scaffold2932
5	Lus10006714	2103524	2105034	+	RLP	scaffold2932	scaffold2932
11	Lus10025009	8793502	8795883	-	TM-CC	scaffold294	scaffold294
1	Lus10027013	16640400	16641128	-	RLK	scaffold297	scaffold297
1	Lus10027026	16567972	16571590	+	TM-CC	scaffold297	scaffold297
1	Lus10027069	16258147	16262979	-	TM-CC	scaffold297	scaffold297
3	Lus10000629	22276175	22279086	+	RLK	scaffold2992	scaffold2992
10	Lus10020962	4385831	4390295	-	RLK	scaffold3	scaffold3
3	Lus10019113	4369569	4371800	-	RLK	scaffold30	scaffold30a
3	Lus10019114	4381523	4388318	+	RLK	scaffold30	scaffold30a
3	Lus10019131	4464687	4467671	-	RLK	scaffold30	scaffold30a
3	Lus10019142	4518681	4520489	+	TX	scaffold30	scaffold30a
3	Lus10019145	4526932	4529827	-	RLK	scaffold30	scaffold30a
11	Lus10008825	13670695	13672383	+	RLP	scaffold300	scaffold300
13	Lus10000562	14714114	14716756	+	RLK	scaffold3010	scaffold3010
5	Lus10007347	13761016	13761957	-	TM-CC	scaffold302	scaffold302
5	Lus10007359	13811351	13815007	+	CNL	scaffold302	scaffold302
4	Lus10020688	17769956	17772156	+	RLK	scaffold303	scaffold303
4	Lus10020747	17469886	17471926	+	RLK	scaffold303	scaffold303
4	Lus10020770	17355454	17356383	+	TM-CC	scaffold303	scaffold303
4	Lus10020779	17305881	17309057	-	CNL	scaffold303	scaffold303
4	Lus10020794	17250005	17256770	+	TM-CC	scaffold303	scaffold303
8	Lus10000591	17314911	17317279	-	TM-CC	scaffold3030	scaffold3030
6	Lus10025092	14593858	14603827	-	RLK	scaffold305	scaffold305a
8	Lus10025139	2322802	2325653	+	RLK	scaffold305	scaffold305b
5	Lus10025195	11757322	11761156	+	TM-CC	scaffold305	scaffold305c
3	Lus10002917	26472173	26474767	-	RLK	scaffold3059	scaffold3059
3	Lus10002923	26493615	26496069	+	RLK	scaffold3059	scaffold3059
12	Lus10033032	12062075	12063442	-	RLK	scaffold306	scaffold306a
12	Lus10033041	12166374	12168263	-	RLK	scaffold306	scaffold306a
12	Lus10033065	14232014	14235487	-	RLK	scaffold306	scaffold306b
12	Lus10033104	14812956	14816545	-	RLK	scaffold306	scaffold306b
1	Lus10006287	12185947	12186204	-	RLP	scaffold308	scaffold308
4	Lus10036691	11419242	11421137	-	RLK	scaffold31	scaffold31a
4	Lus10036697	11441987	11442748	+	RLP	scaffold31	scaffold31a
4	Lus10036863	12317154	12319044	-	RLK	scaffold31	scaffold31a
4	Lus10036899	12461740	12463695	-	RLK	scaffold31	scaffold31a
4	Lus10036935	12614248	12618996	+	RLK	scaffold31	scaffold31a
3	Lus10036986	3634457	3638438	+	RLK	scaffold31	scaffold31b
3	Lus10037006	3731712	3735797	+	RLK	scaffold31	scaffold31b
3	Lus10037008	3739602	3741491	-	TM-CC	scaffold31	scaffold31b
1	Lus10034273	6456238	6459190	+	RLK	scaffold310	scaffold310a
1	Lus10034275	6444864	6453091	-	RLP	scaffold310	scaffold310a
1	Lus10034278	6426331	6427278	-	RLP	scaffold310	scaffold310a
4	Lus10034350	14058849	14061819	+	RLK	scaffold310	scaffold310b
4	Lus10034413	13671666	13674599	-	RLK	scaffold310	scaffold310b
4	Lus10034432	13598326	13601455	-	RLK	scaffold310	scaffold310b
4	Lus10034445	13521995	13528941	+	RLK	scaffold310	scaffold310b
4	Lus10034446	13509214	13511384	-	RLK	scaffold310	scaffold310b
1	Lus10008830	14346523	14350434	+	RLK	scaffold312	scaffold312
1	Lus10008849	14667431	14670983	-	RLK	scaffold312	scaffold312
8	Lus10016952	1577240	1580151	+	RLK	scaffold315	scaffold315
8	Lus10017005	1889668	1897392	-	TM-CC	scaffold315	scaffold315
8	Lus10000738	18730173	18732831	-	NL	scaffold3153	scaffold3153
6	Lus10013675	6462019	6463908	+	RLK	scaffold317	scaffold317b
3	Lus10009279	17515879	17530886	+	TM-CC	scaffold318	scaffold318
13	Lus10025943	3001560	3004717	-	RLK	scaffold319	scaffold319
13	Lus10025976	3141936	3145231	-	TM-CC	scaffold319	scaffold319
13	Lus10026011	3289263	3293142	+	TNL	scaffold319	scaffold319
13	Lus10026069	3544252	3546318	-	RLK	scaffold319	scaffold319
13	Lus10026091	3643037	3645570	+	RLK	scaffold319	scaffold319
13	Lus10026109	3711691	3715776	+	NL	scaffold319	scaffold319
13	Lus10026132	3799059	3807880	-	NL	scaffold319	scaffold319
13	Lus10026149	3897243	3897996	-	RLP	scaffold319	scaffold319
3	Lus10024736	11326296	11327300	+	RLP	scaffold320	scaffold320
3	Lus10023051	21991475	21995412	+	TNL	scaffold325	scaffold325b
3	Lus10023093	21779519	21781034	+	NL	scaffold325	scaffold325b
15	Lus10023146	3390452	3393388	-	RLK	scaffold325	scaffold325c
7	Lus10023166	17481197	17486939	-	RLK	scaffold325	scaffold325d
5	Lus10028115	807714	810812	-	RLK	scaffold327	scaffold327a
5	Lus10028118	796449	800032	-	TM-CC	scaffold327	scaffold327a
5	Lus10028140	686671	689157	+	RLK	scaffold327	scaffold327a
5	Lus10028197	363078	371008	-	RLP	scaffold327	scaffold327a
5	Lus10028232	112893	115914	-	RLK	scaffold327	scaffold327a
5	Lus10028234	103790	106744	+	RLK	scaffold327	scaffold327a
9	Lus10028279	4972365	4975644	-	CNL	scaffold327	scaffold327b
9	Lus10028285	5006065	5008515	+	RLK	scaffold327	scaffold327b
11	Lus10039245	17354133	17357968	-	RLK	scaffold33	scaffold33a
11	Lus10039274	17230077	17232852	-	RLK	scaffold33	scaffold33a
11	Lus10039280	17207743	17209034	+	RLK	scaffold33	scaffold33a
11	Lus10039315	17029199	17032784	-	RLK	scaffold33	scaffold33a
11	Lus10039321	16992312	16994358	-	RLK	scaffold33	scaffold33a
11	Lus10039334	16897926	16902229	-	TM-CC	scaffold33	scaffold33a
10	Lus10039381	3281961	3283575	+	TM-CC	scaffold33	scaffold33b
10	Lus10039385	3312349	3315166	+	TM-CC	scaffold33	scaffold33b
10	Lus10039402	3489281	3494354	-	TM-CC	scaffold33	scaffold33b
10	Lus10039406	3549901	3551771	+	RLK	scaffold33	scaffold33b
10	Lus10039422	3773467	3775472	-	RLK	scaffold33	scaffold33b
10	Lus10039444	3986025	4025737	+	TM-CC	scaffold33	scaffold33b
8	Lus10039483	22261652	22263655	-	RLK	scaffold33	scaffold33d
10	Lus10007232	15034486	15037494	+	RLK	scaffold338	scaffold338b
10	Lus10007233	15041923	15044889	-	RLK	scaffold338	scaffold338b
6	Lus10025210	16644297	16646375	+	RLK	scaffold339	scaffold339a
6	Lus10025223	16686849	16689706	+	RLK	scaffold339	scaffold339a
6	Lus10025245	16797413	16798729	+	RLK	scaffold339	scaffold339a
11	Lus10038726	2108019	2111486	-	RLK	scaffold34	scaffold34a
11	Lus10038754	1991694	1993398	+	RLK	scaffold34	scaffold34a
11	Lus10038808	1753239	1756003	-	TM-CC	scaffold34	scaffold34a
11	Lus10038819	1710089	1714206	+	TM-CC	scaffold34	scaffold34a
11	Lus10038828	1651406	1654217	+	RLK	scaffold34	scaffold34a
11	Lus10038875	1467334	1471356	+	RLK	scaffold34	scaffold34a
11	Lus10038930	1226631	1230969	+	RLK	scaffold34	scaffold34a
14	Lus10038955	18320612	18324606	+	RLK	scaffold34	scaffold34b
14	Lus10038983	18197017	18199932	-	CNL	scaffold34	scaffold34b
14	Lus10039014	18039561	18044433	+	TM-CC	scaffold34	scaffold34b
14	Lus10039030	17992788	17996284	+	RLK	scaffold34	scaffold34b
14	Lus10039038	17966500	17969478	+	RLK	scaffold34	scaffold34b
14	Lus10039050	17913893	17917028	+	TM-CC	scaffold34	scaffold34b
14	Lus10039132	17523095	17526553	+	RLK	scaffold34	scaffold34b
14	Lus10039190	17292208	17296527	-	TM-CC	scaffold34	scaffold34b
14	Lus10039211	17203248	17203932	-	NBS	scaffold34	scaffold34b
8	Lus10022180	8376556	8396527	-	RLK	scaffold342	scaffold342
1	Lus10016098	10798376	10801131	+	RLK	scaffold344	scaffold344
14	Lus10028551	738195	740042	+	RLK	scaffold346	scaffold346
14	Lus10028552	740767	742605	+	RLK	scaffold346	scaffold346
14	Lus10028578	821189	822379	-	TM-CC	scaffold346	scaffold346
14	Lus10028597	959136	964288	+	TM-CC	scaffold346	scaffold346
14	Lus10028612	1020268	1023720	-	RLK	scaffold346	scaffold346
14	Lus10028613	1030691	1033179	+	RLK	scaffold346	scaffold346
14	Lus10028639	1171345	1174215	+	NL	scaffold346	scaffold346
14	Lus10028699	1563551	1567268	-	RLK	scaffold346	scaffold346
14	Lus10028711	1645915	1647660	+	RLK	scaffold346	scaffold346
14	Lus10028715	1658038	1660460	-	RLK	scaffold346	scaffold346
14	Lus10028716	1662606	1666010	-	RLK	scaffold346	scaffold346
7	Lus10001562	18151595	18153756	-	RLK	scaffold3460	scaffold3460
7	Lus10001564	18144764	18146794	+	RLK	scaffold3460	scaffold3460
8	Lus10024640	20268209	20269387	-	TX	scaffold349	scaffold349
8	Lus10024681	20536562	20536942	-	RLP	scaffold349	scaffold349
8	Lus10024721	20729043	20731712	-	RLP	scaffold349	scaffold349
2	Lus10017898	21250791	21253907	+	RLK	scaffold35	scaffold35b
6	Lus10001264	10947930	10950648	+	RLP	scaffold352	scaffold352
5	Lus10024020	15375615	15378491	-	RLK	scaffold353	scaffold353
5	Lus10024053	15540245	15551520	-	TM-CC	scaffold353	scaffold353
5	Lus10024056	15557556	15568781	-	TM-CC	scaffold353	scaffold353
5	Lus10024063	15635008	15648806	+	RLK	scaffold353	scaffold353
5	Lus10024064	15650262	15653487	+	RLK	scaffold353	scaffold353
5	Lus10024075	15709997	15711391	-	RLK	scaffold353	scaffold353
5	Lus10024081	15725123	15728803	-	RLK	scaffold353	scaffold353
5	Lus10024130	15978555	15986486	-	TM-CC	scaffold353	scaffold353
5	Lus10024149	16062315	16063710	+	TN	scaffold353	scaffold353
5	Lus10024157	16120209	16127173	+	TM-CC	scaffold353	scaffold353
5	Lus10024167	16165377	16166764	+	TM-CC	scaffold353	scaffold353
5	Lus10024173	16191100	16194903	+	CNL	scaffold353	scaffold353
14	Lus10013165	6628064	6630698	+	RLK	scaffold359	scaffold359a
14	Lus10013178	6556285	6570669	+	TM-CC	scaffold359	scaffold359a
3	Lus10029228	8133211	8134952	-	RLK	scaffold360	scaffold360a
3	Lus10029232	8119641	8120426	+	RLK	scaffold360	scaffold360a
3	Lus10029235	8100334	8103639	-	RLK	scaffold360	scaffold360a
3	Lus10029241	8054726	8057356	-	RLK	scaffold360	scaffold360a
15	Lus10029288	2190421	2191729	-	RLP	scaffold360	scaffold360b
15	Lus10029290	2197918	2199146	+	RLK	scaffold360	scaffold360b
15	Lus10029315	2362494	2364557	+	RLK	scaffold360	scaffold360b
1	Lus10026707	16740011	16740404	+	TX	scaffold361	scaffold361
1	Lus10026756	17134471	17137673	+	RLK	scaffold361	scaffold361
1	Lus10026761	17159664	17161647	+	RLK	scaffold361	scaffold361
1	Lus10026765	17189168	17189470	-	NBS	scaffold361	scaffold361
11	Lus10021531	12431721	12434074	-	RLK	scaffold362	scaffold362
9	Lus10005491	8321723	8324951	-	RLK	scaffold368	scaffold368a
2	Lus10038552	8294479	8297503	-	RLK	scaffold37	scaffold37a
2	Lus10038553	8290069	8293337	+	RLK	scaffold37	scaffold37a
2	Lus10038554	8285884	8288983	+	RLK	scaffold37	scaffold37a
2	Lus10038556	8262344	8265369	+	RLK	scaffold37	scaffold37a
2	Lus10038557	8253621	8256703	+	RLK	scaffold37	scaffold37a
2	Lus10038598	7739111	7741740	-	RLK	scaffold37	scaffold37a
2	Lus10038670	7017383	7024456	+	TM-CC	scaffold37	scaffold37a
2	Lus10038686	6770130	6773156	-	RLK	scaffold37	scaffold37a
15	Lus10005136	4589557	4591870	+	RLK	scaffold370	scaffold370
15	Lus10005138	4600087	4602278	+	RLK	scaffold370	scaffold370
7	Lus10022129	8959211	8961917	-	RLK	scaffold371	scaffold371
2	Lus10013194	22937361	22939071	-	TM-CC	scaffold372	scaffold372
2	Lus10013212	23014957	23018325	+	RLK	scaffold372	scaffold372
2	Lus10013245	23162319	23169000	+	RLK	scaffold372	scaffold372
2	Lus10013246	23172063	23175081	+	RLK	scaffold372	scaffold372
2	Lus10013247	23175653	23177507	+	RLK	scaffold372	scaffold372
2	Lus10013252	23202553	23204940	+	RLK	scaffold372	scaffold372
2	Lus10013262	23254936	23257353	+	RLK	scaffold372	scaffold372
13	Lus10030730	17673903	17677229	+	RLK	scaffold373	scaffold373b
13	Lus10030766	17831794	17834828	+	RLK	scaffold373	scaffold373b
13	Lus10030767	17837209	17844289	+	RLK	scaffold373	scaffold373b
13	Lus10030768	17844702	17847908	+	RLK	scaffold373	scaffold373b
13	Lus10030785	17914315	17916785	+	RLK	scaffold373	scaffold373b
13	Lus10030811	18030442	18032268	-	RLK	scaffold373	scaffold373b
13	Lus10030812	18035057	18035845	-	RLP	scaffold373	scaffold373b
13	Lus10030839	18177651	18182041	+	TNL	scaffold373	scaffold373b
13	Lus10030845	18211794	18215062	+	RLK	scaffold373	scaffold373b
13	Lus10030846	18218174	18221600	+	RLK	scaffold373	scaffold373b
13	Lus10030847	18222200	18225706	+	RLK	scaffold373	scaffold373b
13	Lus10030850	18245576	18249688	-	RLP	scaffold373	scaffold373b
13	Lus10030851	18251116	18254564	-	RLK	scaffold373	scaffold373b
13	Lus10030852	18256874	18259161	-	RLK	scaffold373	scaffold373b
13	Lus10030855	18277829	18280950	-	RLK	scaffold373	scaffold373b
13	Lus10030856	18281785	18285734	-	RLK	scaffold373	scaffold373b
13	Lus10030863	18316937	18320004	-	RLK	scaffold373	scaffold373b
13	Lus10030879	18396402	18399787	+	RLK	scaffold373	scaffold373b
13	Lus10030898	18473088	18476075	+	RLK	scaffold373	scaffold373b
13	Lus10030903	18500724	18503938	-	RLK	scaffold373	scaffold373b
4	Lus10029005	8786311	8789288	+	RLK	scaffold376	scaffold376a
1	Lus10029075	6838254	6842414	+	RLK	scaffold376	scaffold376b
1	Lus10029122	7074208	7076595	+	RLK	scaffold376	scaffold376b
1	Lus10029123	7078859	7081457	+	RLK	scaffold376	scaffold376b
1	Lus10029132	7126224	7128545	+	RLK	scaffold376	scaffold376b
1	Lus10029170	7307144	7309477	+	RLK	scaffold376	scaffold376b
1	Lus10029203	7498825	7502534	+	TM-CC	scaffold376	scaffold376b
2	Lus10019229	608097	615844	-	TM-CC	scaffold377	scaffold377
2	Lus10019237	653433	658631	-	RLK	scaffold377	scaffold377
2	Lus10019248	722575	726044	+	RLK	scaffold377	scaffold377
2	Lus10019277	850875	851681	+	RLP	scaffold377	scaffold377
2	Lus10019315	1055156	1057956	+	RLK	scaffold377	scaffold377
14	Lus10022432	14138712	14141077	+	RLK	scaffold38	scaffold38
14	Lus10022436	14166268	14167380	+	TM-CC	scaffold38	scaffold38
